case_id,fg_voxels,pseudo_mean_conf,accepted,source_npz
10266_HCT2_img,73345,0.9854208827018738,1,runs\cardiac_leads_ssl\cache\unlabeled\10266_HCT2_img.npz
10268_HCT2_img,93221,0.9834598898887634,1,runs\cardiac_leads_ssl\cache\unlabeled\10268_HCT2_img.npz
10269_HCT2_img,155467,0.9853459596633911,1,runs\cardiac_leads_ssl\cache\unlabeled\10269_HCT2_img.npz
10270_HCT2_img,118061,0.9850677251815796,1,runs\cardiac_leads_ssl\cache\unlabeled\10270_HCT2_img.npz
10271_HCT2_img,93169,0.9830266237258911,1,runs\cardiac_leads_ssl\cache\unlabeled\10271_HCT2_img.npz
10272_HCT2_img,96293,0.984974205493927,1,runs\cardiac_leads_ssl\cache\unlabeled\10272_HCT2_img.npz
10273_HCT2_img,98891,0.9865774512290955,1,runs\cardiac_leads_ssl\cache\unlabeled\10273_HCT2_img.npz
10274_HCT2_img,164576,0.9866288900375366,1,runs\cardiac_leads_ssl\cache\unlabeled\10274_HCT2_img.npz
10275_HCT2_img,105295,0.9845412373542786,1,runs\cardiac_leads_ssl\cache\unlabeled\10275_HCT2_img.npz
10276_HCT2_img,87010,0.9851195812225342,1,runs\cardiac_leads_ssl\cache\unlabeled\10276_HCT2_img.npz
10277_HCT2_img,124791,0.983485758304596,1,runs\cardiac_leads_ssl\cache\unlabeled\10277_HCT2_img.npz
10279_HCT2_img,119576,0.984555721282959,1,runs\cardiac_leads_ssl\cache\unlabeled\10279_HCT2_img.npz
10280_HCT2_img,117549,0.9841037392616272,1,runs\cardiac_leads_ssl\cache\unlabeled\10280_HCT2_img.npz
10283_HCT2_img,150541,0.9857131242752075,1,runs\cardiac_leads_ssl\cache\unlabeled\10283_HCT2_img.npz
10284_HCT2_img,159756,0.9845974445343018,1,runs\cardiac_leads_ssl\cache\unlabeled\10284_HCT2_img.npz
10285_HCT2_img,92697,0.9816237688064575,1,runs\cardiac_leads_ssl\cache\unlabeled\10285_HCT2_img.npz
10286_HCT2_img,88742,0.9834927916526794,1,runs\cardiac_leads_ssl\cache\unlabeled\10286_HCT2_img.npz
10287_HCT2_img,160089,0.9842088222503662,1,runs\cardiac_leads_ssl\cache\unlabeled\10287_HCT2_img.npz
10290_HCT2_img,112382,0.985460638999939,1,runs\cardiac_leads_ssl\cache\unlabeled\10290_HCT2_img.npz
10291_HCT2_img,128782,0.9868630170822144,1,runs\cardiac_leads_ssl\cache\unlabeled\10291_HCT2_img.npz
10292_HCT2_img,213473,0.985119104385376,1,runs\cardiac_leads_ssl\cache\unlabeled\10292_HCT2_img.npz
10295_HCT2_img,95687,0.9854217171669006,1,runs\cardiac_leads_ssl\cache\unlabeled\10295_HCT2_img.npz
10297_HCT2_img,85151,0.9828784465789795,1,runs\cardiac_leads_ssl\cache\unlabeled\10297_HCT2_img.npz
10299_HCT2_img,106086,0.9842072129249573,1,runs\cardiac_leads_ssl\cache\unlabeled\10299_HCT2_img.npz
10300_HCT2_img,93024,0.981328010559082,1,runs\cardiac_leads_ssl\cache\unlabeled\10300_HCT2_img.npz
10301_HCT2_img,131087,0.9854519963264465,1,runs\cardiac_leads_ssl\cache\unlabeled\10301_HCT2_img.npz
10304_HCT2_img,109044,0.9797267317771912,0,runs\cardiac_leads_ssl\cache\unlabeled\10304_HCT2_img.npz
10306_HCT2_img,83579,0.9846704006195068,1,runs\cardiac_leads_ssl\cache\unlabeled\10306_HCT2_img.npz
10307_HCT2_img,97536,0.9849438667297363,1,runs\cardiac_leads_ssl\cache\unlabeled\10307_HCT2_img.npz
10501_HCT2_img,153592,0.9838255047798157,1,runs\cardiac_leads_ssl\cache\unlabeled\10501_HCT2_img.npz
10502_HCT2_img,159244,0.98516845703125,1,runs\cardiac_leads_ssl\cache\unlabeled\10502_HCT2_img.npz
10503_HCT2_img,172856,0.9830796718597412,1,runs\cardiac_leads_ssl\cache\unlabeled\10503_HCT2_img.npz
10505_HCT2_img,218338,0.9828019142150879,1,runs\cardiac_leads_ssl\cache\unlabeled\10505_HCT2_img.npz
10506_HCT2_img,123471,0.9821886420249939,1,runs\cardiac_leads_ssl\cache\unlabeled\10506_HCT2_img.npz
10508_HCT2_img,161966,0.9870501160621643,1,runs\cardiac_leads_ssl\cache\unlabeled\10508_HCT2_img.npz
10509_HCT2_img,120119,0.9862790107727051,1,runs\cardiac_leads_ssl\cache\unlabeled\10509_HCT2_img.npz
10510_HCT2_img,210237,0.9835876822471619,1,runs\cardiac_leads_ssl\cache\unlabeled\10510_HCT2_img.npz
10515_HCT2_img,192483,0.9833560585975647,1,runs\cardiac_leads_ssl\cache\unlabeled\10515_HCT2_img.npz
10516_HCT2_img,219427,0.9823540449142456,1,runs\cardiac_leads_ssl\cache\unlabeled\10516_HCT2_img.npz
10518_HCT2_img,173202,0.9840763211250305,1,runs\cardiac_leads_ssl\cache\unlabeled\10518_HCT2_img.npz
10519_HCT2_img,130623,0.9851603507995605,1,runs\cardiac_leads_ssl\cache\unlabeled\10519_HCT2_img.npz
10523_HCT2_img,195517,0.9847259521484375,1,runs\cardiac_leads_ssl\cache\unlabeled\10523_HCT2_img.npz
10524_HCT2_img,127884,0.9845341444015503,1,runs\cardiac_leads_ssl\cache\unlabeled\10524_HCT2_img.npz
10528_HCT2_img,135196,0.9824190139770508,1,runs\cardiac_leads_ssl\cache\unlabeled\10528_HCT2_img.npz
10529_HCT2_img,91350,0.981472373008728,1,runs\cardiac_leads_ssl\cache\unlabeled\10529_HCT2_img.npz
10530_HCT2_img,117918,0.9832692742347717,1,runs\cardiac_leads_ssl\cache\unlabeled\10530_HCT2_img.npz
10531_HCT2_img,102857,0.984300971031189,1,runs\cardiac_leads_ssl\cache\unlabeled\10531_HCT2_img.npz
10532_HCT2_img,95776,0.9813374280929565,1,runs\cardiac_leads_ssl\cache\unlabeled\10532_HCT2_img.npz
10533_HCT2_img,164787,0.9821776151657104,1,runs\cardiac_leads_ssl\cache\unlabeled\10533_HCT2_img.npz
10534_HCT2_img,184327,0.9846941828727722,1,runs\cardiac_leads_ssl\cache\unlabeled\10534_HCT2_img.npz
10535_HCT2_img,90470,0.9839538931846619,1,runs\cardiac_leads_ssl\cache\unlabeled\10535_HCT2_img.npz
10537_HCT2_img,148224,0.9835527539253235,1,runs\cardiac_leads_ssl\cache\unlabeled\10537_HCT2_img.npz
10538_HCT2_img,92654,0.9850051403045654,1,runs\cardiac_leads_ssl\cache\unlabeled\10538_HCT2_img.npz
11001_HCT2_img,158918,0.9864287376403809,1,runs\cardiac_leads_ssl\cache\unlabeled\11001_HCT2_img.npz
11003_HCT2_img,80511,0.9841820597648621,1,runs\cardiac_leads_ssl\cache\unlabeled\11003_HCT2_img.npz
11004_HCT2_img,98225,0.9801350235939026,1,runs\cardiac_leads_ssl\cache\unlabeled\11004_HCT2_img.npz
11005_HCT2_img,81740,0.9835429191589355,1,runs\cardiac_leads_ssl\cache\unlabeled\11005_HCT2_img.npz
11006_HCT2_img,83261,0.9831107258796692,1,runs\cardiac_leads_ssl\cache\unlabeled\11006_HCT2_img.npz
11007_HCT2_img,134142,0.9854121208190918,1,runs\cardiac_leads_ssl\cache\unlabeled\11007_HCT2_img.npz
11009_HCT2_img,103883,0.9840640425682068,1,runs\cardiac_leads_ssl\cache\unlabeled\11009_HCT2_img.npz
11010_HCT2_img,162286,0.987069845199585,1,runs\cardiac_leads_ssl\cache\unlabeled\11010_HCT2_img.npz
11011_HCT2_img,163092,0.9850602746009827,1,runs\cardiac_leads_ssl\cache\unlabeled\11011_HCT2_img.npz
11012_HCT2_img,56431,0.9800410270690918,1,runs\cardiac_leads_ssl\cache\unlabeled\11012_HCT2_img.npz
11013_HCT2_img,193200,0.9843285083770752,1,runs\cardiac_leads_ssl\cache\unlabeled\11013_HCT2_img.npz
11014_HCT2_img,132134,0.9868063926696777,1,runs\cardiac_leads_ssl\cache\unlabeled\11014_HCT2_img.npz
11019_HCT2_img,142021,0.983370840549469,1,runs\cardiac_leads_ssl\cache\unlabeled\11019_HCT2_img.npz
